
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 
2	0.5564334436521137		0.6979166666666666		0.6090583898830136		10.0
3	0.5583354665630207		0.6983333333333334		0.6086199093304356		10.0
4	0.5564511840816189		0.6983333333333334		0.6084855199424966		10.0
5	0.5569740404523014		0.7170833333333333		0.6158042723010813		10.0
6	0.5572864611022506		0.7175					0.6141768892697685		10.0
7	0.5521934628552276		0.6979166666666667		0.6044762887900232		10.0
8	0.5584010434010434		0.72375					0.6175535495227443		10.0
9	0.5574862637362636		0.7108333333333333		0.6116239105995015		10.0
10	0.551496308702191		0.7170833333333333		0.6114374288133229		10.0
11	0.5493296420355244		0.7170833333333333		0.6097707621466562		10.0
12	0.5429663922821818		0.7175					0.606664899507325		10.0
13	0.5455345093502988		0.72375					0.6121277488316678		10.0
14	0.5491800560457176		0.73					0.6183875747852579		10.0
15	0.5484951013898383		0.72375					0.6165482387663552		10.0
16	0.5409054189181393		0.7112499999999999		0.6046010296010296		10.0
17	0.5267777777777778		0.7112499999999999		0.5960643446791454		10.0
18	0.5241461988304094		0.7045833333333333		0.5918626640068765		10.0
19	0.5159179679969154		0.7041666666666667		0.5861561900507612		10.0
20	0.5196231400178769		0.7108333333333333		0.5897920153545766		10.0
21	0.5109878863826232		0.7108333333333333		0.5847100912660685		10.0

n-grams(1-2)
df		 Precision 				 Recall 				 F-score 				 C
3	0.6320839435178838		0.6975					0.6510254675914962		10.0
4	0.6111994139761168		0.6970833333333333		0.6402757587240345		10.0
5	0.5986242154818007		0.6975					0.6324049508938832		10.0
6	0.5898957423725225		0.7041666666666666		0.6300845458350529		10.0
7	0.5775517035424157		0.7041666666666666		0.624199517205256		10.0
8	0.5724866735431751		0.7170833333333333		0.626624696518481		10.0
9	0.5784088284436582		0.73					0.636127279846445		10.0
10	0.5840103133021091		0.7366666666666666		0.6429755535239868		10.0
11	0.5636185172009307		0.7366666666666666		0.6293398546653268		10.0
12	0.562068490075456		0.7366666666666666		0.6289077873601945		10.0
13	0.5538505968575629		0.7366666666666666		0.6240963401374866		10.0
14	0.5484564777327935		0.7429166666666667		0.6244839103794639		10.0
15	0.5557302470603387		0.73625					0.6263126382626746		10.0
16	0.5525504101161995		0.7175					0.6163612246070764		10.0
17	0.5505046583850932		0.72375					0.61925417454337		10.0
18	0.5517076659038902		0.7179166666666666		0.6170237182806556		10.0
19	0.5406117727619444		0.7108333333333333		0.6060068593582525		10.0
20	0.5433066590160411		0.72375					0.6128100445774647		10.0
